question,answer
Acaba Dram filmi tavsiye et Sen ne dersin?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Sence Dram filmi tavsiye et Yardımcı olur musun?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Sana göre Dram filmi tavsiye et Yardımcı olur musun?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Dram filmi tavsiye et Cevabın nedir?,"Derin hikayeler için: 'Babam ve Oğlum', 'The Pursuit of Happyness'."
Sence Aksiyon filmi öner Lütfen.,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sana göre Aksiyon filmi öner Lütfen.,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sana göre Aksiyon filmi öner Sen ne dersin?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
"Merak ediyorum, Aksiyon filmi öner Sen ne dersin?","Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sence Aksiyon filmi öner Tavsiyen nedir?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Aksiyon filmi öner Cevabın nedir?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sence Aksiyon filmi öner Cevabın nedir?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba Aksiyon filmi öner Ne düşünüyorsun?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba Aksiyon filmi öner Yardımcı olur musun?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Aksiyon filmi öner Lütfen.,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba Aksiyon filmi öner Cevabın nedir?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sence Aksiyon filmi öner Bir önerin var mı?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sana göre Aksiyon filmi öner Ne düşünüyorsun?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba Aksiyon filmi öner Bir önerin var mı?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
"Merak ediyorum, Aksiyon filmi öner Bir önerin var mı?","Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Sana göre Aksiyon filmi öner Yardımcı olur musun?,"Adrenalin istiyorsan: 'John Wick', 'Mad Max: Fury Road'."
Acaba En iyi yerli filmler? Bir önerin var mı?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Acaba En iyi yerli filmler? Ne düşünüyorsun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
"Merak ediyorum, En iyi yerli filmler? Yardımcı olur musun?","'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
En iyi yerli filmler? Lütfen.,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sana göre En iyi yerli filmler? Bir önerin var mı?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sence En iyi yerli filmler? Yardımcı olur musun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
"Merak ediyorum, En iyi yerli filmler? Cevabın nedir?","'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sence En iyi yerli filmler? Ne düşünüyorsun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sana göre En iyi yerli filmler? Lütfen.,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
"Merak ediyorum, En iyi yerli filmler?","'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Acaba En iyi yerli filmler? Yardımcı olur musun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
"Merak ediyorum, En iyi yerli filmler? Ne düşünüyorsun?","'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sana göre En iyi yerli filmler?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Sana göre En iyi yerli filmler? Yardımcı olur musun?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Acaba En iyi yerli filmler?,"'Kış Uykusu', 'Babam ve Oğlum', 'G.O.R.A.' gibi filmleri tavsiye ederim."
Bugün hava nasıl? Cevabın nedir?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
"Merak ediyorum, Bugün hava nasıl? Lütfen.",Konumunu bilirsem sana hava durumunu söyleyebilirim.
"Merak ediyorum, Bugün hava nasıl?",Konumunu bilirsem sana hava durumunu söyleyebilirim.
Bugün hava nasıl? Sen ne dersin?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
Acaba Bugün hava nasıl? Cevabın nedir?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
Bugün hava nasıl? Tavsiyen nedir?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
"Merak ediyorum, Bugün hava nasıl? Ne düşünüyorsun?",Konumunu bilirsem sana hava durumunu söyleyebilirim.
Acaba Bugün hava nasıl?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
Sana göre Bugün hava nasıl? Bir önerin var mı?,Konumunu bilirsem sana hava durumunu söyleyebilirim.
"Merak ediyorum, Saat kaç? Tavsiyen nedir?","Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Sence Saat kaç?,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Saat kaç? Sen ne dersin?,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
"Merak ediyorum, Saat kaç?","Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Sana göre Saat kaç? Sen ne dersin?,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
"Merak ediyorum, Saat kaç? Yardımcı olur musun?","Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Saat kaç? Lütfen.,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Acaba Saat kaç? Bir önerin var mı?,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Sence Saat kaç? Cevabın nedir?,"Şu anki saate cihazından bakabilirsin, çünkü anlık verim yok."
Sence Yarın yağmur yağacak mı? Sen ne dersin?,Bunu kontrol etmek için hava durumu uygulaması kullanmanı öneririm.
Sence Yarın yağmur yağacak mı? Yardımcı olur musun?,Bunu kontrol etmek için hava durumu uygulaması kullanmanı öneririm.
"Merak ediyorum, Yarın yağmur yağacak mı? Lütfen.",Bunu kontrol etmek için hava durumu uygulaması kullanmanı öneririm.
"Merak ediyorum, Yarın yağmur yağacak mı? Yardımcı olur musun?",Bunu kontrol etmek için hava durumu uygulaması kullanmanı öneririm.
Acaba Yarın yağmur yağacak mı? Tavsiyen nedir?,Bunu kontrol etmek için hava durumu uygulaması kullanmanı öneririm.
"Merak ediyorum, Yarın yağmur yağacak mı? Sen ne dersin?",Bunu kontrol etmek için hava durumu uygulaması kullanmanı öneririm.
Sana göre Yarın yağmur yağacak mı? Tavsiyen nedir?,Bunu kontrol etmek için hava durumu uygulaması kullanmanı öneririm.
Yarın yağmur yağacak mı? Tavsiyen nedir?,Bunu kontrol etmek için hava durumu uygulaması kullanmanı öneririm.
Sence Yarın yağmur yağacak mı? Ne düşünüyorsun?,Bunu kontrol etmek için hava durumu uygulaması kullanmanı öneririm.
Acaba Bugün günlerden ne? Sen ne dersin?,Bugünün tarihi sistem saatine göre değişiyor.
"Merak ediyorum, Bugün günlerden ne?",Bugünün tarihi sistem saatine göre değişiyor.
Acaba Bugün günlerden ne? Yardımcı olur musun?,Bugünün tarihi sistem saatine göre değişiyor.
Bugün günlerden ne? Yardımcı olur musun?,Bugünün tarihi sistem saatine göre değişiyor.
Bugün günlerden ne? Cevabın nedir?,Bugünün tarihi sistem saatine göre değişiyor.
"Merak ediyorum, Bugün günlerden ne? Ne düşünüyorsun?",Bugünün tarihi sistem saatine göre değişiyor.
Bugün günlerden ne? Sen ne dersin?,Bugünün tarihi sistem saatine göre değişiyor.
Sence Bugün günlerden ne? Cevabın nedir?,Bugünün tarihi sistem saatine göre değişiyor.
Acaba Bugün günlerden ne? Bir önerin var mı?,Bugünün tarihi sistem saatine göre değişiyor.
Acaba Ayın kaçı? Yardımcı olur musun?,Takviminden kontrol edebilirsin.
Sana göre Ayın kaçı? Yardımcı olur musun?,Takviminden kontrol edebilirsin.
Acaba Ayın kaçı? Lütfen.,Takviminden kontrol edebilirsin.
Sence Ayın kaçı? Lütfen.,Takviminden kontrol edebilirsin.
"Merak ediyorum, Ayın kaçı? Sen ne dersin?",Takviminden kontrol edebilirsin.
Ayın kaçı? Lütfen.,Takviminden kontrol edebilirsin.
"Merak ediyorum, Ayın kaçı?",Takviminden kontrol edebilirsin.
Sana göre Ayın kaçı? Bir önerin var mı?,Takviminden kontrol edebilirsin.
Einstein kimdir? Lütfen.,"Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
Sence Einstein kimdir?,"Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
Sana göre Einstein kimdir? Cevabın nedir?,"Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
Einstein kimdir? Tavsiyen nedir?,"Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
"Merak ediyorum, Einstein kimdir? Ne düşünüyorsun?","Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
Sence Einstein kimdir? Sen ne dersin?,"Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
Acaba Einstein kimdir? Sen ne dersin?,"Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
Einstein kimdir? Cevabın nedir?,"Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
Acaba Einstein kimdir? Lütfen.,"Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
Sence Einstein kimdir? Cevabın nedir?,"Albert Einstein, görelilik teorisiyle tanınan ünlü bir fizikçidir."
Sence Kuantum fiziği nedir? Lütfen.,"Kuantum fiziği, atom altı parçacıkların davranışlarını inceler."
"Merak ediyorum, Kuantum fiziği nedir? Bir önerin var mı?","Kuantum fiziği, atom altı parçacıkların davranışlarını inceler."
"Merak ediyorum, Kuantum fiziği nedir? Cevabın nedir?","Kuantum fiziği, atom altı parçacıkların davranışlarını inceler."
Sence Kuantum fiziği nedir? Cevabın nedir?,"Kuantum fiziği, atom altı parçacıkların davranışlarını inceler."
Kuantum fiziği nedir? Lütfen.,"Kuantum fiziği, atom altı parçacıkların davranışlarını inceler."
Acaba Kuantum fiziği nedir?,"Kuantum fiziği, atom altı parçacıkların davranışlarını inceler."
Sana göre Kuantum fiziği nedir?,"Kuantum fiziği, atom altı parçacıkların davranışlarını inceler."
"Merak ediyorum, Kuantum fiziği nedir?","Kuantum fiziği, atom altı parçacıkların davranışlarını inceler."
Sana göre Dünyanın en yüksek dağı nedir? Sen ne dersin?,"Everest Dağı, dünyanın en yüksek zirvesidir."
Sence Dünyanın en yüksek dağı nedir? Cevabın nedir?,"Everest Dağı, dünyanın en yüksek zirvesidir."
Sana göre Dünyanın en yüksek dağı nedir?,"Everest Dağı, dünyanın en yüksek zirvesidir."
"Merak ediyorum, Dünyanın en yüksek dağı nedir?","Everest Dağı, dünyanın en yüksek zirvesidir."
"Merak ediyorum, Dünyanın en yüksek dağı nedir? Lütfen.","Everest Dağı, dünyanın en yüksek zirvesidir."
Dünyanın en yüksek dağı nedir? Cevabın nedir?,"Everest Dağı, dünyanın en yüksek zirvesidir."
Dünyanın en yüksek dağı nedir? Bir önerin var mı?,"Everest Dağı, dünyanın en yüksek zirvesidir."
Dünyanın en yüksek dağı nedir? Sen ne dersin?,"Everest Dağı, dünyanın en yüksek zirvesidir."
Dünyanın en yüksek dağı nedir? Lütfen.,"Everest Dağı, dünyanın en yüksek zirvesidir."
"Merak ediyorum, Deniz neden tuzludur? Bir önerin var mı?",Çünkü nehirlerden gelen mineraller zamanla denizlerde birikir.
Sence Deniz neden tuzludur? Bir önerin var mı?,Çünkü nehirlerden gelen mineraller zamanla denizlerde birikir.
Sence Deniz neden tuzludur?,Çünkü nehirlerden gelen mineraller zamanla denizlerde birikir.
"Merak ediyorum, Deniz neden tuzludur? Yardımcı olur musun?",Çünkü nehirlerden gelen mineraller zamanla denizlerde birikir.
"Merak ediyorum, Deniz neden tuzludur?",Çünkü nehirlerden gelen mineraller zamanla denizlerde birikir.
"Merak ediyorum, Deniz neden tuzludur? Sen ne dersin?",Çünkü nehirlerden gelen mineraller zamanla denizlerde birikir.
Sana göre Deniz neden tuzludur? Ne düşünüyorsun?,Çünkü nehirlerden gelen mineraller zamanla denizlerde birikir.
Sana göre Deniz neden tuzludur? Cevabın nedir?,Çünkü nehirlerden gelen mineraller zamanla denizlerde birikir.
Sence Deniz neden tuzludur? Lütfen.,Çünkü nehirlerden gelen mineraller zamanla denizlerde birikir.
Sence Ay neden parlar? Tavsiyen nedir?,"Ay, Güneş’ten aldığı ışığı yansıttığı için parlar."
Sence Ay neden parlar?,"Ay, Güneş’ten aldığı ışığı yansıttığı için parlar."
Acaba Ay neden parlar?,"Ay, Güneş’ten aldığı ışığı yansıttığı için parlar."
Sana göre Ay neden parlar? Lütfen.,"Ay, Güneş’ten aldığı ışığı yansıttığı için parlar."
Sana göre Ay neden parlar? Sen ne dersin?,"Ay, Güneş’ten aldığı ışığı yansıttığı için parlar."
Acaba Ay neden parlar? Cevabın nedir?,"Ay, Güneş’ten aldığı ışığı yansıttığı için parlar."
"Merak ediyorum, Ay neden parlar? Sen ne dersin?","Ay, Güneş’ten aldığı ışığı yansıttığı için parlar."
Ay neden parlar? Bir önerin var mı?,"Ay, Güneş’ten aldığı ışığı yansıttığı için parlar."
Sence Nasılsın? Lütfen.,"Harikayım, teşekkür ederim! Siz nasılsınız?"
Sence Nasılsın? Cevabın nedir?,"Harikayım, teşekkür ederim! Siz nasılsınız?"
Acaba Nasılsın? Bir önerin var mı?,"Harikayım, teşekkür ederim! Siz nasılsınız?"
Sana göre Nasılsın? Tavsiyen nedir?,"Harikayım, teşekkür ederim! Siz nasılsınız?"
"Merak ediyorum, Nasılsın?","Harikayım, teşekkür ederim! Siz nasılsınız?"
Nasılsın? Yardımcı olur musun?,"Harikayım, teşekkür ederim! Siz nasılsınız?"
Sence Nasılsın? Tavsiyen nedir?,"Harikayım, teşekkür ederim! Siz nasılsınız?"
"Merak ediyorum, Nasılsın? Yardımcı olur musun?","Harikayım, teşekkür ederim! Siz nasılsınız?"
Sence Nasılsın? Yardımcı olur musun?,"Harikayım, teşekkür ederim! Siz nasılsınız?"
"Merak ediyorum, Nasılsın? Lütfen.","Harikayım, teşekkür ederim! Siz nasılsınız?"
Sence Nasılsın?,"Harikayım, teşekkür ederim! Siz nasılsınız?"
Acaba Adın ne?,"Ben bir yapay zeka asistanıyım, adım yok ama sana yardımcı olmak için buradayım."
Acaba Adın ne? Lütfen.,"Ben bir yapay zeka asistanıyım, adım yok ama sana yardımcı olmak için buradayım."
"Merak ediyorum, Adın ne? Lütfen.","Ben bir yapay zeka asistanıyım, adım yok ama sana yardımcı olmak için buradayım."
Acaba Adın ne? Cevabın nedir?,"Ben bir yapay zeka asistanıyım, adım yok ama sana yardımcı olmak için buradayım."
Acaba Adın ne? Bir önerin var mı?,"Ben bir yapay zeka asistanıyım, adım yok ama sana yardımcı olmak için buradayım."
Sana göre Adın ne? Sen ne dersin?,"Ben bir yapay zeka asistanıyım, adım yok ama sana yardımcı olmak için buradayım."
Sana göre Adın ne? Lütfen.,"Ben bir yapay zeka asistanıyım, adım yok ama sana yardımcı olmak için buradayım."
Acaba Adın ne? Sen ne dersin?,"Ben bir yapay zeka asistanıyım, adım yok ama sana yardımcı olmak için buradayım."
Sence Adın ne? Tavsiyen nedir?,"Ben bir yapay zeka asistanıyım, adım yok ama sana yardımcı olmak için buradayım."
Acaba Ne yapıyorsun? Cevabın nedir?,Sizinle konuşuyorum ve yardımcı olmaya hazırım.
Sana göre Ne yapıyorsun? Bir önerin var mı?,Sizinle konuşuyorum ve yardımcı olmaya hazırım.
Acaba Ne yapıyorsun? Bir önerin var mı?,Sizinle konuşuyorum ve yardımcı olmaya hazırım.
Sana göre Ne yapıyorsun? Ne düşünüyorsun?,Sizinle konuşuyorum ve yardımcı olmaya hazırım.
Sence Ne yapıyorsun? Bir önerin var mı?,Sizinle konuşuyorum ve yardımcı olmaya hazırım.
Sana göre Ne yapıyorsun? Cevabın nedir?,Sizinle konuşuyorum ve yardımcı olmaya hazırım.
Ne yapıyorsun? Cevabın nedir?,Sizinle konuşuyorum ve yardımcı olmaya hazırım.
Sana göre Ne yapıyorsun? Tavsiyen nedir?,Sizinle konuşuyorum ve yardımcı olmaya hazırım.
Acaba Ne yapıyorsun? Tavsiyen nedir?,Sizinle konuşuyorum ve yardımcı olmaya hazırım.
Kaç yaşındasın? Lütfen.,Benim yaşım yok ama bilgim güncel!
Sana göre Kaç yaşındasın? Cevabın nedir?,Benim yaşım yok ama bilgim güncel!
"Merak ediyorum, Kaç yaşındasın? Cevabın nedir?",Benim yaşım yok ama bilgim güncel!
Acaba Kaç yaşındasın? Yardımcı olur musun?,Benim yaşım yok ama bilgim güncel!
Kaç yaşındasın? Sen ne dersin?,Benim yaşım yok ama bilgim güncel!
Acaba Kaç yaşındasın? Sen ne dersin?,Benim yaşım yok ama bilgim güncel!
Acaba Kaç yaşındasın?,Benim yaşım yok ama bilgim güncel!
"Merak ediyorum, Kaç yaşındasın?",Benim yaşım yok ama bilgim güncel!
Sence Kaç yaşındasın? Ne düşünüyorsun?,Benim yaşım yok ama bilgim güncel!
Sana göre Kaç yaşındasın? Yardımcı olur musun?,Benim yaşım yok ama bilgim güncel!
Kaç yaşındasın? Tavsiyen nedir?,Benim yaşım yok ama bilgim güncel!
Sana göre Kaç yaşındasın? Sen ne dersin?,Benim yaşım yok ama bilgim güncel!
Acaba Türk müsün? Ne düşünüyorsun?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
"Merak ediyorum, Türk müsün? Tavsiyen nedir?",Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Acaba Türk müsün?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Sence Türk müsün? Tavsiyen nedir?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
"Merak ediyorum, Türk müsün?",Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Türk müsün? Lütfen.,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Acaba Türk müsün? Cevabın nedir?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Sana göre Türk müsün?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Acaba Türk müsün? Yardımcı olur musun?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Türk müsün? Cevabın nedir?,Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
"Merak ediyorum, Türk müsün? Yardımcı olur musun?",Ben bir yapay zekayım ama Türkçe konuşabiliyorum.
Acaba Seninle oyun oynayabilir miyim? Tavsiyen nedir?,Tabii! Hangi oyunu oynamak istersin?
Sence Seninle oyun oynayabilir miyim? Ne düşünüyorsun?,Tabii! Hangi oyunu oynamak istersin?
Sence Seninle oyun oynayabilir miyim? Bir önerin var mı?,Tabii! Hangi oyunu oynamak istersin?
"Merak ediyorum, Seninle oyun oynayabilir miyim?",Tabii! Hangi oyunu oynamak istersin?
Sana göre Seninle oyun oynayabilir miyim? Sen ne dersin?,Tabii! Hangi oyunu oynamak istersin?
Seninle oyun oynayabilir miyim? Sen ne dersin?,Tabii! Hangi oyunu oynamak istersin?
Seninle oyun oynayabilir miyim? Cevabın nedir?,Tabii! Hangi oyunu oynamak istersin?
Acaba Seninle oyun oynayabilir miyim? Sen ne dersin?,Tabii! Hangi oyunu oynamak istersin?
Sence Şaka yapar mısın?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
"Merak ediyorum, Şaka yapar mısın? Cevabın nedir?",Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Sana göre Şaka yapar mısın? Yardımcı olur musun?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Sence Şaka yapar mısın? Cevabın nedir?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Sence Şaka yapar mısın? Ne düşünüyorsun?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Acaba Şaka yapar mısın? Sen ne dersin?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Sana göre Şaka yapar mısın?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Acaba Şaka yapar mısın?,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
"Merak ediyorum, Şaka yapar mısın? Tavsiyen nedir?",Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
Sence Şaka yapar mısın? Lütfen.,Tabii! İşte bir şaka: Neden bilgisayar soğuk? Çünkü Windows açık!
